,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
25,ADELAIDE,ALICE SPRINGS,2009,98782,788,135063,1037008,1316.0
64,ADELAIDE,BRISBANE,2009,636988,5189,759602,8416558,1622.0
105,ADELAIDE,CANBERRA,2009,215360,2173,297798,2112156,972.0
164,ADELAIDE,GOLD COAST,2009,274228,2052,323953,3297564,1607.0
206,ADELAIDE,MELBOURNE,2009,2103815,16472,2487929,10591496,643.0
245,ADELAIDE,PERTH,2009,625998,5598,828930,11867760,2120.0
274,ADELAIDE,PORT LINCOLN,2009,0,0,0,0,
313,ADELAIDE,SYDNEY,2009,1600217,12241,1953795,14285247,1167.0
352,ALBURY,SYDNEY,2009,237457,6645,346563,3003540,452.0
396,ALICE SPRINGS,MELBOURNE,2009,140253,1043,178928,1939980,1860.0
435,ALICE SPRINGS,SYDNEY,2009,0,0,0,0,
486,BALLINA,SYDNEY,2009,271598,3530,336123,2160360,612.0
525,BRISBANE,CAIRNS,2009,1154958,8396,1350912,11678836,1391.0
564,BRISBANE,CANBERRA,2009,604546,6669,836066,6375564,956.0
603,BRISBANE,DARWIN,2009,380449,2468,486860,7038736,2852.0
655,BRISBANE,HAMILTON ISLAND,2009,185689,1455,244563,1292040,888.0
679,BRISBANE,HOBART,2009,0,0,0,0,
721,BRISBANE,MACKAY,2009,735876,7131,910284,5683407,797.0
760,BRISBANE,MELBOURNE,2009,2706166,20510,3260118,28324310,1381.0
810,BRISBANE,NEWCASTLE,2009,564251,5442,735458,3341388,614.0
849,BRISBANE,PERTH,2009,717984,4375,853120,15815625,3615.0
888,BRISBANE,PROSERPINE,2009,220864,1455,252756,1302225,895.0
927,BRISBANE,ROCKHAMPTON,2009,600588,8525,771042,4415950,518.0
966,BRISBANE,SYDNEY,2009,4295766,29596,5221284,22285788,753.0
1005,BRISBANE,TOWNSVILLE,2009,942580,8230,1221436,9151760,1112.0
1044,BROOME,PERTH,2009,318504,3666,445085,6147882,1677.0
1094,CAIRNS,MELBOURNE,2009,389836,2536,460272,5860696,2311.0
1133,CAIRNS,SYDNEY,2009,832851,5212,958609,10272852,1971.0
1162,CAIRNS,TOWNSVILLE,2009,163959,4354,266324,1236536,284.0
1204,CANBERRA,MELBOURNE,2009,1093815,12294,1611919,5778180,470.0
1243,CANBERRA,SYDNEY,2009,1021827,18947,1689793,4471492,236.0
1282,COFFS HARBOUR,SYDNEY,2009,296792,4368,368477,1935024,443.0
1311,DARWIN,MELBOURNE,2009,184499,1292,242258,4045252,3131.0
1325,DARWIN,PERTH,2009,109394,1056,183054,2799456,2651.0
1364,DARWIN,SYDNEY,2009,0,0,0,0,
1403,DEVONPORT,MELBOURNE,2009,0,0,0,0,
1434,DUBBO,SYDNEY,2009,171985,5999,238874,1859690,310.0
1485,GOLD COAST,SYDNEY,2009,2143381,14468,2535853,9838240,680.0
1509,HAMILTON ISLAND,SYDNEY,2009,97320,728,124049,1110928,1526.0
1527,HERVEY BAY,SYDNEY,2009,71224,665,83677,647045,973.0
1558,HOBART,MELBOURNE,2009,1202361,8650,1426214,5345700,618.0
1587,HOBART,SYDNEY,2009,490333,3591,598282,3731049,1039.0
1626,KALGOORLIE,PERTH,2009,202583,2732,336733,1469816,538.0
1665,KARRATHA,PERTH,2009,518301,5961,839077,7451250,1250.0
1704,LAUNCESTON,MELBOURNE,2009,832772,8025,1039192,3819900,476.0
1733,LAUNCESTON,SYDNEY,2009,211158,1458,251320,1332612,914.0
1775,MELBOURNE,BURNIE,2009,0,0,0,0,
1806,MELBOURNE,GOLD COAST,2009,1615773,10165,1850449,13519450,1330.0
1845,MELBOURNE,MILDURA,2009,190066,5245,255666,2396965,457.0
1879,MELBOURNE,NEWCASTLE,2009,369031,2653,454010,2217908,836.0
1918,MELBOURNE,PERTH,2009,1724902,10992,2056106,29744352,2706.0
1957,MELBOURNE,SYDNEY,2009,7082354,46170,8679540,32596020,706.0
1978,NEWCASTLE,GOLD COAST,2009,141786,1029,176865,554631,539.0
1985,PERTH,NEWMAN,2009,178664,2881,322526,2935739,1019.0
2014,PERTH,PORT HEDLAND,2009,115248,1285,170185,1685920,1312.0
2053,PERTH,SYDNEY,2009,1465124,8562,1796758,28117608,3284.0
2068,PORT MACQUARIE,SYDNEY,2009,192074,3963,265983,1272123,321.0
2112,SUNSHINE COAST,MELBOURNE,2009,412261,2742,473905,3986868,1454.0
2151,SUNSHINE COAST,SYDNEY,2009,446746,3108,532564,2601396,837.0
2198,SYDNEY,TOWNSVILLE,2009,169542,1255,211879,2120950,1690.0
2237,SYDNEY,WAGGA WAGGA,2009,175529,6003,250090,2203101,367.0
